commonName,scientificName,alpha,aou,neoStat,nestLoc1,nestLoc2,nestType1,nestType2,foodType1,foodType2,foragingSubstrate1,foragingSubstrate2,foragingTechnique1,foragingTechnique2,habitat1,habitat2,notes
 Canada Goose,Branta canadensis,CAGO,1720,R,Ground,,Scrape,,Greens, Aquatic Inverts,Water,,Surface Dips, Dabbler,Swamp/Marsh, Freshwater,NA
 Emperor Goose,Chen canagica,EMGO,1760,R,Ground,,Scrape,,Greens, Aquatic Inverts,Ground, Water,Ground Gleaner, Dabbler,Swamp/Marsh, Tundra,NA
 Greater White-fronted Goose,Anser albifrons,GWFG,1710,R,Ground,,Scrape,,Greens, Aquatic Inverts,Water,,Surface Dips, Dabbler,Freshwater, Swamp/Marsh,NA
 Pink-footed Goose,Anser brachyrhynchus,PFGO,1712,R,Ground, Cliff,Scrape,,Grain, Greens,Ground,,Ground Gleaner,,Tundra, Coastal,NA
 Ross Goose,Chen rossii,ROGO,1700,R,Ground,,Scrape,,Greens, Aquatic Inverts,Water,,Surface Dips, Dabbler,Freshwater, Tundra,NA
 Snow Goose,Chen caerulescens,SNGO,1690,R,Ground,,Scrape,,Greens, Aquatic Inverts,Water,,Surface Dips, Dabbler,Tundra, Freshwater,NA
 Northern Goshawk,Accipiter gentilis,NOGO,3340,B,Woody Upper Canopy,,Platform,,Birds, Small Mammals,Air, Ground,Aerial Pursuit, Low Patrol,Forest,,NA
 Boat-tailed Grackle,Quiscalus major,BTGR,5130,R,Woody Lower Canopy, Shrub,Cup,,Insects, Small Verts,Ground, Air,Ground Gleaner, Hawker,Swamp/Marsh, Cropland,NA
 Common Grackle,Quiscalus quiscula,COGR,5110,R,Woody Lower Canopy,,Cup, Cavity,Insects, Aquatic Inverts,Ground, Foliage,Ground Gleaner, Foliage Gleaner,Grassland, Urban,NA
 Great-tailed Grackle,Quiscalus mexicanus,GTGR,5120,R,Woody Lower Canopy, Shrub,Cup,,Insects, Small Verts,Ground,,Ground Gleaner,,Grassland, Swamp/Marsh,NA
 Clarks Grebe,Aechmophorus clarkii,CLGR,11,R,Ground,,Platform,,Fish, Aquatic Inverts,Water,,Surface Dives,,Freshwater, Swamp/Marsh,NA
 Eared Grebe,Podiceps nigricollis,EAGR,40,R,Floating,,Platform,,Aquatic Inverts, Fish,Water,,Surface Dives,,Swamp/Marsh, Freshwater,NA
 Horned Grebe,Podiceps auritus,HOGR,30,R,Floating,,Platform,,Aquatic Inverts, Fish,Water,,Surface Dives,,Swamp/Marsh, Freshwater,NA
 Least Grebe,Tachybaptus dominicus,LEGR,50,R,Floating,,Platform,,Aquatic Inverts, Fish,Water,,Surface Dives,,Freshwater, Swamp/Marsh,NA
 Pied-billed Grebe,Podilymbus podiceps,PBGR,60,R,Floating,,Platform,,Aquatic Inverts, Fish,Water,,Surface Dives,,Swamp/Marsh, Riparian,NA
 Red-necked Grebe,Podiceps grisegena,RNGR,20,R,Floating,,Platform,,Aquatic Inverts, Fish,Water,,Surface Dives,,Freshwater, Swamp/Marsh,NA
 Western Grebe,Aechmophorus occidentalis,WEGR,10,R,Floating,,Platform,,Fish, Aquatic Inverts,Water,,Surface Dives,,Swamp/Marsh, Freshwater,NA
 Black-headed Grosbeak,Pheucticus melanocephalus,BHGR,5960,A,Woody Lower Canopy, Shrub,Cup,,Insects, Seeds,Foliage,,Foliage Gleaner,,Riparian, Forest Edge,NA
 Blue Grosbeak,Guiraca caerulea,BLGR,5970,A,Shrub, Woody Lower Canopy,Cup,,Insects, Seeds,Ground, Foliage,Ground Gleaner, Foliage Gleaner,Riparian, Forest Edge,NA
 Evening Grosbeak,Coccothraustes vespertinus,EVGR,5140,R,Woody Upper Canopy,,Cup,,Seeds, Fruit,Ground, Foliage,Ground Gleaner, Foliage Gleaner,Forest, Urban,NA
 Pine Grosbeak,Pinicola enucleator,PIGR,5150,R,Woody Lower Canopy, Shrub,Cup,,Seeds, Fruit,Foliage, Ground,Foliage Gleaner, Ground Gleaner,Forest, Forest Edge,NA
 Rose-breasted Grosbeak,Pheucticus ludovicianus,RBGR,5950,A,Woody Lower Canopy, Shrub,Cup,,Insects, Seeds,Foliage, Air,Foliage Gleaner, Hover Gleaner,Forest, Shrubland,NA
 Blue Grouse,Dendragapus obscurus,BLGS,2970,R,Ground,,Scrape,,Greens, Seeds,Ground, Foliage,Ground Gleaner, Foliage Gleaner,Forest,,NA
 Ruffed Grouse,Bonasa umbellus,RUGR,3000,R,Ground,,Scrape,,Greens, Seeds,Foliage, Ground,Foliage Browser, Ground Gleaner,Forest,,NA
 Sage Grouse,Centrocercus urophasianus,SAGR,3090,R,Ground,,Scrape,,Greens, Insects,Foliage, Ground,Foliage Browser, Ground Gleaner,Shrubland,,NA
 Sharp-tailed Grouse,Tympanuchus phasianellus,STGR,3080,R,Ground,,Scrape,,Greens, Seeds,Ground, Foliage,Ground Gleaner, Foliage Browser,Grassland, Shrubland,NA
 Spruce Grouse,Dendragapus canadensis,SPGR,2980,R,Ground,,Scrape,,Greens, Fruit,Foliage, Ground,Foliage Browser, Ground Gleaner,Forest,,NA
 Black Guillemot,Cepphus grylle,BLGU,270,R,Cliff, Ground,Crevice,,Fish, Aquatic Inverts,Water,,Surface Dives,,Coastal, Pelagic,NA
 Pigeon Guillemot,Cepphus columba,PIGU,290,R,Cliff,,Crevice, Burrow,Fish, Aquatic Inverts,Water,,Surface Dives,,Coastal, Pelagic,NA
 Bonapartes Gull,Larus philadelphia,BOGU,600,R,Woody Lower Canopy, Ground,Saucer,,Insects, Aquatic Inverts,Ground, Water,Scavenger, Surface Dives,Shoreline, Freshwater,NA
 California Gull,Larus californicus,CAGU,530,R,Ground,,Scrape,,Insects, Small Verts,Water,,Scavenger, Surface Dives,Coastal, Freshwater,NA
 Common Black-headed Gull,Larus ridibundus,CBHG,551,R,Ground,,Scrape,,Insects,NA,Water,,Scavenger, Ground Gleaner,Coastal, Freshwater,NA
 Franklins Gull,Larus pipixcan,FRGU,590,R,Floating,,Platform,,Insects,NA,Water,,Scavenger, Ground Gleaner,Freshwater, Cropland,NA
 Glaucous Gull,Larus hyperboreus,GLGU,420,R,Cliff, Ground,Saucer,,Fish, Aquatic Inverts,Water,,Scavenger, Low Patrol,Coastal,,NA
 Glaucous-winged Gull,Larus glaucescens,GWGU,440,R,Cliff, Ground,Saucer,,Aquatic Inverts, Fish,Water, Ground,Scavenger, Ground Gleaner,Coastal,,NA
 Great Black-backed Gull,Larus marinus,GBBG,470,R,Ground,,Saucer,,Birds, Fish,Ground, Water,Scavenger, Ground Gleaner,Coastal,,NA
 Heermanns Gull,Larus heermanni,HEEG,570,R,Ground,,Scrape, Saucer,Fish, Aquatic Inverts,Water,,Scavenger, High Dives,Coastal,,NA
 Herring Gull,Larus argentatus,HERG,510,R,Ground, Cliff,Saucer,,Seeds, Birds,Water, Ground,Scavenger, Ground Gleaner,Coastal, Freshwater,NA
 Iceland Gull,Larus glaucoides,ICGU,430,R,Cliff, Ground,Saucer,,Fish, Aquatic Inverts,Water,,Scavenger, High Dives,Coastal,,NA
 Ivory Gull,Pagophila eburnea,IVGU,390,R,Ground, Cliff,Saucer, Scrape,Fish, Aquatic Inverts,Water, Ground,Scavenger, High Dives,Coastal,,NA
 Laughing Gull,Larus atricilla,LAGU,580,R,Ground,,Scrape, Saucer,Aquatic Inverts,NA,Ground, Water,Scavenger, Ground Gleaner,Swamp/Marsh,,NA
 Lesser Black-backed Gull,Larus fuscus,LBBG,500,R,Ground,,Saucer,,Fish, Aquatic Inverts,Water,,Scavenger,,Coastal,,NA
 Little Gull,Larus minutus,LIGU,601,R,Ground,,Scrape,,Insects, Aquatic Inverts,Water,,Surface Dips,,Swamp/Marsh, Grassland,NA
 Mew Gull,Larus canus,MEGU,550,R,Ground, Floating,Scrape, Cup,Insects,NA,Ground, Water,Scavenger, Ground Gleaner,Coastal, Tundra,NA
 Ring-billed Gull,Larus delawarensis,RBGU,540,R,Ground,,Saucer,,Fish, Insects,Ground, Water,Scavenger, Ground Gleaner,Freshwater, Coastal,NA
 Ross Gull,Rhodostethia rosea,ROGU,610,R,Ground,,Scrape,,Insects, Fish,Water, Ground,Surface Dips, Ground Gleaner,Coastal, Tundra,NA
 Sabines Gull,Xema sabini,SAGU,620,R,Ground,,Scrape,,Fish, Insects,Ground, Water,Scavenger, Ground Gleaner,Tundra, Freshwater,NA
 Thayers Gull,Larus thayeri,THGU,431,R,Cliff,,Saucer,,Fish, Fruit,Water, Ground,Scavenger, Low Patrol,Coastal,,NA
 Western Gull,Larus occidentalis,WEGU,490,R,Cliff, Ground,Saucer,,Fish, Aquatic Inverts,Water, Ground,Scavenger, Low Patrol,Coastal,,NA
 Yellow-footed Gull,Larus livens,YFGU,491,R,Ground,,Saucer,,Fish, Aquatic Inverts,Water,,Scavenger,,Coastal,,NA
 Gyrfalcon,Falco rusticolus,GYRF,3540,R,Cliff, Woody Upper Canopy,Scrape,,Birds, Small Mammals,Air, Ground,Aerial Pursuit, Low Patrol,Tundra, Rocky Slope,NA
 Northern Harrier,Circus cyaneus,NOHA,3310,B,Ground, Shrub,Platform,,Small Mammals, Small Verts Ground,Air, Low Patrol,Grassland, Swamp/Marsh,,,NA
 Broad-winged Hawk,Buteo platypterus,BWHA,3430,A,Woody Upper Canopy,,Platform,,Small Mammals, Birds,Ground, Air,Swooper,,Forest,,NA
 Common Black Hawk,Buteogallus anthracinus,CBHA,3450,C,Woody Upper Canopy,,Platform,,Small Verts, Fish,Ground, Water,Swooper,,Swamp/Marsh, Riparian,NA
 Coopers Hawk,Accipiter cooperii,COHA,3330,B,Woody Upper Canopy,,Platform,,Birds, Small Mammals,Air, Ground,Aerial Pursuit, Low Patrol,Forest, Riparian,NA
 Ferruginous Hawk,Buteo regalis,FEHA,3480,B,Woody Upper Canopy, Cliff,Platform,,Small Mammals, Birds,Ground,,Hover & Pounce, Swooper,Grassland,,NA
 Gray Hawk,Buteo nitidus,GRHA,3460,C,Woody Upper Canopy,,Platform,,Small Verts, Birds,Ground,,Swooper, Low Patrol,Riparian, Forest,NA
 Harris Hawk,Parabuteo unicinctus,HRSH,3350,R,Woody Upper Canopy, Shrub,Platform,,Small Mammals, Small Verts,Ground,,Low Patrol, Swooper,Grassland, Shrubland,NA
 Red-shouldered Hawk,Buteo lineatus,RSHA,3390,B,Woody Upper Canopy,,Platform,,Small Mammals, Small Verts,Ground,,Low Patrol, High Patrol,Riparian, Swamp/Marsh,NA
 Red-tailed Hawk,Buteo jamaicensis,RTHA,3370,B,Woody Upper Canopy, Cliff,Platform,,Small Mammals, Birds,Ground,,High Patrol, Swooper,Forest, Grassland,NA
 Rough-legged Hawk,Buteo lagopus,RLHA,3470,R,Cliff, Woody Upper Canopy,Platform,,Small Mammals, Insects,Ground,,Hover & Pounce, Swooper,Forest, Tundra,NA
 Sharp-shinned Hawk,Accipiter striatus,SSHA,3320,B,Woody Upper Canopy,,Platform,,Birds,NA,Air,,Aerial Pursuit,,Forest,,NA
 Short-tailed Hawk,Buteo brachyurus,STHA,3440,R,Woody Upper Canopy,,Platform,,Birds,NA,Ground,,High Patrol,,Grassland, Swamp/Marsh,NA
 Swainsons Hawk,Buteo swainsoni,SWHA,3420,A,Woody Upper Canopy, Cliff,Platform,,Small Mammals, Small Verts,Ground,,High Patrol,,Grassland, Forest,NA
 White-tailed Hawk,Buteo albicaudatus,WTHA,3410,R,Woody Lower Canopy, Shrub,Platform,,Small Mammals, Small Verts,Ground,,High Patrol, Hover & Pounce,Grassland, Shrubland,NA
 Zone-tailed Hawk,Buteo albonotatus,ZTHA,3400,C,Woody Upper Canopy,,Platform,,Small Verts, Birds,Ground,,High Patrol,,Shrubland, Grassland,NA
 Black-crowned Night Heron,Nycticorax nycticorax,BCNH,2020,R,Woody Lower Canopy, Ground,Platform,,Fish, Small Verts,Water,,Ambusher,,Swamp/Marsh, Freshwater,NA
 Great Blue Heron,Ardea herodias,GTBH,1940,R,Woody Upper Canopy,,Platform,,Fish, Aquatic Inverts,Water,,Ambusher,,Swamp/Marsh, Freshwater,NA
 Green-backed Heron,Butorides striatus,GNBH,2010,R,Woody Lower Canopy, Shrub,Platform,,Fish, Insects,Water,,Ambusher,,Swamp/Marsh, Freshwater,NA
 Little Blue Heron,Egretta caerulea,LBHE,2000,R,Woody Upper Canopy, Shrub,Platform,,Fish, Small Verts,Water,,Ambusher,,Swamp/Marsh, Freshwater,NA
 Tricolored Heron,Egretta tricolor,TRHE,1990,R,Woody Lower Canopy, Shrub,Platform,,Fish, Small Verts,Water,,Ambusher,,Swamp/Marsh, Freshwater,NA
 Yellow-crowned Night Heron,Nycticorax violaceus,YCNH,2030,R,Woody Upper Canopy, Shrub,Platform,,Aquatic Inverts, Insects,Water, Ground,Ambusher, Ground Gleaner,Swamp/Marsh, Freshwater,NA
 Allens Hummingbird,Selasphorus sasin,ALHU,4340,A,Woody Lower Canopy, Shrub,Cup,,Nectar, Insects,Air,,Hover Gleaner, Hawker,Shrubland, Forest,NA
 Annas Hummingbird,Calypte anna,ANHU,4310,B,Woody Lower Canopy, Shrub,Cup,,Nectar, Insects,Air,,Hover Gleaner, Hawker,Forest, Shrubland,NA
 Berylline Hummingbird,Amazilia beryllina,BEHU,4381,R,Woody Upper Canopy,,Cup,,Nectar, Insects,Air,,Hover Gleaner,,Forest,,NA
 Black-chinned Hummingbird,Archilochus alexandri,BCHU,4290,A,Woody Lower Canopy,,Cup,,Nectar, Insects,Air,,Hover Gleaner, Hawker,Forest, Shrubland,NA
 Blue-throated Hummingbird,Lampornis clemenciae,BLUH,4270,C,Ground, Woody Lower Canopy,Cup,,Insects, Nectar,Air,,Hover Gleaner, Hawker,Forest, Riparian,NA
 Broad-billed Hummingbird,Cynanthus latirostris,BBLH,4410,C,Woody Lower Canopy, Shrub,Cup,,Nectar, Insects,Air,,Hover Gleaner,,Shrubland, Riparian,NA
 Broad-tailed Hummingbird,Selasphorus platycercus,BTLH,4320,A,Woody Lower Canopy,,Cup,,Nectar, Insects,Air,,Hover Gleaner, Hawker,Forest, Shrubland,NA
 Buff-bellied Hummingbird,Amazilia yucatanensis,BUFH,4390,C,Shrub, Woody Lower Canopy,Cup,,Nectar, Insects,Air,,Hover Gleaner,,Forest, Shrubland,NA
 Calliope Hummingbird,Stellula calliope,CAHU,4360,A,Woody Upper Canopy, Shrub,Cup,,Nectar, Insects,Air,,Hover Gleaner, Hawker,Forest, Shrubland,NA
 Costas Hummingbird,Calypte costae,COHU,4300,A,Shrub, Woody Lower Canopy,Cup,,Nectar, Insects,Air,,Hover Gleaner,,Shrubland,,NA
 Lucifer Hummingbird,Calothorax lucifer,LUHU,4370,C,Shrub, Woody Lower Canopy,Cup,,Insects, Nectar,Air,,Hover Gleaner,,Shrubland,,NA
 Magnificent Hummingbird,Eugenes fulgens,MAHU,4260,C,Woody Upper Canopy,,Cup,,Nectar, Insects,Air,,Hover Gleaner,,Forest,,NA
 Ruby-throated Hummingbird,Archilochus colubris,RTHU,4280,A,Woody Lower Canopy,,Cup,,Nectar, Insects,Air,,Hover Gleaner,,Forest, Urban,NA
 Rufous Hummingbird,Selasphorus rufus,RUHU,4330,A,Woody Lower Canopy,,Cup,,Nectar, Insects,Air,,Hover Gleaner, Hawker,Forest, Shrubland,NA
 Violet-crowned Hummingbird,Amazilia violiceps,VCHU,4391,C,Woody Upper Canopy,,Cup,,Nectar, Insects,Air,,Hover Gleaner,,Forest, Riparian,NA
 White-eared Hummingbird,Hylocharis leucotis,WEHU,4401,R,Shrub, Woody Lower Canopy,Cup,,Nectar, Insects,Air,,Hover Gleaner, Hawker,Forest, Shrubland,NA
 Glossy Ibis,Plegadis falcinellus,GLIB,1860,R,Ground, Shrub,Platform,,Aquatic Inverts, Insects,Water, Ground,Prober, Ground Gleaner,Swamp/Marsh,,NA
 Scarlet Ibis,Eudocimus ruber,SCIB,1850,R,Woody Upper Canopy,,Platform,,Aquatic Inverts, Fish,Water,,Prober,,Swamp/Marsh, Freshwater,NA
 White Ibis,Eudocimus albus,WHIB,1840,R,Woody Lower Canopy,,Platform,,Aquatic Inverts, Fish,Water, Ground,Prober, Ground Gleaner,Swamp/Marsh, Freshwater,NA
 White-faced Ibis,Plegadis chihi,WFIB,1870,R,Ground, Shrub,Platform,,Aquatic Inverts, Insects,Water, Ground,Prober, Ground Gleaner,Swamp/Marsh, Freshwater,NA
 Northern Jacana,Jacana spinosa,NOJA,2880,R,Floating,,Platform,,Insects,NA,Foliage, Ground,Foliage Gleaner, Ground Gleaner,Swamp/Marsh, Freshwater,NA
 Long-tailed Jaeger,Stercorarius longicaudus,LTJA,380,R,Ground,,Scrape,,Small Mammals, Birds,Ground, Air,Hover & Pounce, Piracy,Grassland, Tundra,NA
 Parasitic Jaeger,Stercorarius parasiticus,PAJA,370,R,Ground,,Scrape,,Birds, Small Mammals,Ground, Air,Hover & Pounce, Piracy,Shrubland, Tundra,NA
 Pomarine Jaeger,Stercorarius pomarinus,POJA,360,R,Ground,,Scrape,,Small Mammals, Birds,Ground, Air,Low Patrol, Piracy,Swamp/Marsh, Tundra,NA
 Blue Jay,Cyanocitta cristata,BLJA,4770,R,Woody Lower Canopy,,Cup,,Insects, Seeds,Ground, Air,Ground Gleaner, Hawker,Forest, Urban,NA
 Brown Jay,Cyanocorax morio,BRJA,4832,R,Woody Lower Canopy, Shrub,Cup,,Insects, Small Verts,Ground, Foliage,Ground Gleaner, Foliage Gleaner,Forest, Forest Edge,NA
 Gray Jay,Perisoreus canadensis,GRAJ,4840,R,Woody Lower Canopy,,Cup,,Insects, Fruit,Ground, Foliage,Ground Gleaner, Foliage Gleaner,Forest, Forest Edge,NA
 Gray-breasted Jay,Aphelocoma ultramarina,GBJA,4820,R,Woody Lower Canopy,,Cup,,Nuts,NA,Ground,,Ground Gleaner,,Forest, Shrubland,NA
 Green Jay,Cyanocorax yncas,GREJ,4830,R,Woody Lower Canopy, Shrub,Cup,,Insects, Small Verts,Foliage, Ground,Foliage Gleaner, Ground Gleaner,Shrubland, Forest,NA
 Pinyon Jay,Gymnorhinus cyanocephalus,PIJA,4920,R,Woody Lower Canopy,,Cup,,Nuts, Seeds,Ground, Foliage,Ground Gleaner, Foliage Gleaner,Shrubland, Forest,NA
 Scrub Jay,Aphelocoma coerulescens,SCJA,4810,R,Woody Lower Canopy, Shrub,Cup,,Insects, Nuts,Ground,,Ground Gleaner,,Shrubland, Forest,NA
 Stellers Jay,Cyanocitta stelleri,STJA,4780,R,Woody Lower Canopy,,Cup,,Nuts, Seeds,Ground, Foliage,Ground Gleaner, Foliage Gleaner,Forest,,NA
 Dark-eyed Junco,Junco hyemalis,DEJU,5670,B,Ground, Bank,Cup, Cavity,Seeds, Insects,Ground, Air,Ground Gleaner, Hawker,Forest, Forest Edge,NA
 Yellow-eyed Junco,Junco phaeonotus,YEJU,5700,R,Ground, Shrub,Cup, Cavity,Insects, Seeds,Ground, Foliage,Ground Gleaner, Foliage Gleaner,Forest, Shrubland,NA
 American Kestrel,Falco sparverius,AMKE,3600,B,Snag, Cliff,Cavity,,Insects, Small Verts,Ground, Air,Hover & Pounce, Hawker,Grassland, Cropland,NA
 Killdeer,Charadrius vociferus,KILL,2730,B,Ground,,Scrape,,Insects,NA,Ground,,Ground Gleaner,,Shoreline, Freshwater,NA
 Cassins Kingbird,Tyrannus vociferans,CAKI,4480,A,Woody Upper Canopy,,Cup,,Insects, Fruit,Air, Ground,Hawker, Hover & Pounce,Forest, Shrubland,NA
 Couchs Kingbird,Tyrannus couchii,COKI,4461,C,Woody Lower Canopy,,Cup,,Insects, Fruit,Air, Ground,Hawker,,Riparian, Urban,NA
 Eastern Kingbird,Tyrannus tyrannus,EAKI,4440,A,Woody Lower Canopy, Shrub,Cup,,Insects, Fruit,Air,,Hawker, Hover Gleaner,Riparian, Forest Edge,NA
 Gray Kingbird,Tyrannus dominicensis,GRAK,4450,D,Woody Lower Canopy, Shrub,Cup,,Insects, Fruit,Air, Foliage,Hawker, Foliage Gleaner,Shoreline,,NA
 Thick-billed Kingbird,Tyrannus crassirostris,TBKI,4451,C,Woody Upper Canopy,,Cup,,Insects,NA,Air,,Hawker,,Riparian,,NA
 Tropical Kingbird,Tyrannus melancholicus,TRKI,4460,C,Woody Lower Canopy,,Cup,,Insects, Fruit,Air, Ground,Hawker, Hover & Pounce,Forest, Urban,NA
 Western Kingbird,Tyrannus verticalis,WEKI,4470,A,Woody Upper Canopy, Shrub,Cup,,Insects, Fruit,Air, Ground,Hawker, Hover & Pounce,Grassland, Riparian,NA
 Belted Kingfisher,Ceryle alcyon,BEKI,3900,B,Bank, Snag,Burrow, Cavity,Fish, Aquatic Inverts,Water,,High Dives,,Shoreline, Freshwater,NA
 Green Kingfisher,Chloroceryle americana,GKIN,3910,C,Bank,,Burrow,,Fish,NA,Water,,High Dives,,Freshwater, Swamp/Marsh,NA
 Ringed Kingfisher,Ceryle torquata,RIKI,3901,R,Bank,,Burrow,,Fish,NA,Water,,High Dives,,Freshwater,,NA
 Golden-crowned Kinglet,Regulus satrapa,GCKI,7480,R,Woody Upper Canopy,,Pendant,,Insects, Fruit,Bark, Air,Foliage Gleaner, Hover Gleaner,Forest,,NA
 Ruby-crowned Kinglet,Regulus calendula,RCKI,7490,B,Woody Upper Canopy,,Pendant,,Insects, Tree Sap,Foliage, Air,Foliage Gleaner, Hover Gleaner,Forest,,NA
 Great Kiskadee,Pitangus sulphuratus,GKIS,4490,R,Woody Lower Canopy, Shrub,Sphere,,Insects, Fish,Air, Water,Hawker, High Dives,Forest, Riparian,NA
 American Swallow-tailed Kite,Elanoides forficatus,ASTK,3270,A,Woody Upper Canopy,,Platform,,Insects, Small Verts,Air, Ground,Hawker, Swooper,Forest, Swamp/Marsh,NA
 Black-shouldered Kite,Elanus caeruleus,BSKI,3280,R,Woody Upper Canopy,,Platform,,Small Mammals, Insects,Ground,,Hover & Pounce,,Grassland, Riparian,NA
 Hook-billed Kite,Chondrohierax uncinatus,HBKI,3271,R,Woody Lower Canopy,,Platform,,Aquatic Inverts, Insects,Ground, Bark,Swooper, Bark Gleaner,Swamp/Marsh, Forest,NA
 Mississippi Kite,Ictinia mississippiensis,MIKI,3290,A,Woody Upper Canopy,,Saucer,,Insects, Small Verts,Air, Ground,Hawker, High Patrol,Riparian, Forest Edge,NA
 Snail Kite,Rostrhamus sociabilis,SNKI,3300,R,Woody Lower Canopy, Shrub,Platform,,Aquatic Inverts,NA,Water,,Low Patrol, Swooper,Swamp/Marsh, Freshwater,NA
 Black-legged Kittiwake,Rissa tridactyla,BLKI,400,R,Cliff,,Cup,,Fish, Aquatic Inverts,Water,,Surface Dips, High Dives,Pelagic, Coastal,NA
 Red-legged Kittiwake,Rissa brevirostris,RLKI,410,R,Cliff,,Cup,,Fish, Aquatic Inverts,Water,,High Dives, Hover & Pick,Pelagic, Coastal,NA
 Red Knot,Calidris canutus,REKN,2340,R,Ground,,Scrape,,Insects, Seeds,Ground,,Ground Gleaner, Prober,Tundra,,NA
 Horned Lark,Eremophila alpestris,HOLA,4740,B,Ground,,Saucer,,Seeds, Insects,Ground,,Ground Gleaner,,Grassland, Cropland,NA
 Limpkin,Aramus guarauna,LIMP,2070,R,Ground, Shrub,Saucer,,Aquatic Inverts,NA,Water,,Prober, Ambusher,Swamp/Marsh,,NA
 Chestnut-collared Longspur,Calcarius ornatus,CCLO,5380,B,Ground,,Cup,,Insects, Seeds,Ground,,Ground Gleaner,,Grassland,,NA
 Lapland Longspur,Calcarius lapponicus,LALO,5360,R,Ground,,Cup,,Insects, Seeds,Ground,,Ground Gleaner,,Grassland, Shrubland,NA
 McCowns Longspur,Calcarius mccownii,MCLO,5390,B,Ground,,Cup,,Seeds, Insects,Ground,,Ground Gleaner,,Grassland, Cropland,NA
 Smiths Longspur,Calcarius pictus,SMLO,5370,R,Ground,,Cup,,Insects, Seeds,Ground,,Ground Gleaner,,Grassland, Tundra,NA
 Arctic Loon,Gavia arctica,ARLO,90,R,Ground,,Platform,,Fish, Insects,Water, Ground,Surface Dives, Ground Gleaner,Freshwater, Tundra,NA
 Common Loon,Gavia immer,COLO,70,R,Ground,,Platform,,Fish, Aquatic Inverts,Water,,Surface Dives,,Freshwater,,NA
 Pacific Loon,Gavia pacifica,PALO,100,R,Ground,,Platform,,Fish, Insects,Water,,Surface Dives,,Tundra, Pelagic,NA
 Red-throated Loon,Gavia stellata,RTLO,110,R,Ground,,Saucer, Platform,Fish, Aquatic Inverts,Water,,Surface Dives,,Freshwater, Tundra,NA
 Yellow-billed Loon,Gavia adamsii,YBLO,80,R,Ground,,Saucer,,Fish, Aquatic Inverts,Water,,Surface Dives,,Freshwater, Tundra,NA
 Black-billed Magpie,Pica pica,BBMA,4750,R,Woody Upper Canopy, Shrub,Sphere,,Insects, Carrion,Ground,,Ground Gleaner,,Shrubland, Riparian,NA
 Yellow-billed Magpie,Pica nuttalli,YBMA,4760,R,Woody Upper Canopy,,Sphere,,Insects, Carrion,Ground, Foliage,Ground Gleaner, Foliage Gleaner,Forest, Riparian,NA
 Mallard,Anas platyrhynchos,MALL,1320,R,Ground,,Scrape,,Seeds, Greens,Water,,Dabbler,,Freshwater, Swamp/Marsh,NA
 Purple Martin,Progne subis,PUMA,6110,A,Snag, MMS,Cavity,,Insects,NA,Air,,Aerial Foraging,,Grassland, Urban,NA
 Eastern Meadowlark,Sturnella magna,EAME,5010,B,Ground,,Cup,,Insects, Seeds,Ground,,Ground Gleaner,,Grassland, Cropland,NA
 Western Meadowlark,Sturnella neglecta,WEME,5011,B,Ground,,Cup,,Insects, Seeds,Ground,,Ground Gleaner,,Grassland, Cropland,NA
 Common Merganser,Mergus merganser,COME,1290,R,Woody Upper Canopy, Ground,Cavity, Crevice,Fish, Aquatic Inverts,Water,,Surface Dives,,Freshwater, Riparian,NA
 Hooded Merganser,Lophodytes cucullatus,HOME,1310,R,Snag, Woody Lower Canopy,Cavity,,Fish, Aquatic Inverts,Water,,Surface Dives,,Freshwater, Swamp/Marsh,NA
 Red-breasted Merganser,Mergus serrator,RBME,1300,R,Ground,,Scrape,,Fish, Aquatic Inverts,Water,,Surface Dives,,Freshwater,,NA
 Merlin,Falco columbarius,MERL,3570,A,Woody Upper Canopy, Cliff,Platform, Cavity,Birds, Small Mammals,Air,,Aerial Pursuit, Hawker,Forest, Grassland,NA
 Northern Mockingbird,Mimus polyglottos,NOMO,7030,B,Shrub, Woody Lower Canopy,Cup,,Insects, Fruit,Ground, Foliage,Ground Gleaner, Foliage Gleaner,Shrubland, Urban,NA
 Common Moorhen,Gallinula chloropus,COMO,2190,R,Floating, Ground,Platform, Cup,Greens, Aquatic Inverts,Water, Ground,Surface Dips, Ground Gleaner,Swamp/Marsh, Freshwater,NA
 Common Murre,Uria aalge,COMU,300,R,Cliff,,None,,Fish, Aquatic Inverts,Water,,Surface Dives,,Coastal, Pelagic,NA
 Thick-billed Murre,Uria lomvia,TBMU,310,R,Cliff,,None,,Fish, Aquatic Inverts,Water,,Surface Dives,,Coastal, Pelagic,NA
 Ancient Murrelet,Synthliboramphus antiquus,ANMU,210,R,Ground,,Burrow, Crevice,Aquatic Inverts, Fish,Water,,Surface Dives,,Coastal, Pelagic,NA
 Kittlitzs Murrelet,Brachyramphus brevirostris,KIMU,240,R,Ground,,None,,Aquatic Inverts,NA,Water,,Surface Dives,,Coastal, Pelagic,NA
 Marbled Murrelet,Brachyramphus marmoratus,MAMU,230,R,Ground, Woody Upper Canopy,Saucer,,Fish, Aquatic Inverts,Water,,Surface Dives,,Coastal, Pelagic,NA
 Xantus Murrelet,Synthliboramphus hypoleucus,XAMU,250,R,Ground,,Crevice, Burrow,Aquatic Inverts,NA,Water,,Surface Dives,,Coastal, Pelagic,NA
