sortID,common,spp,sex,N,meanMass,sDev,minMass,maxMass,season,location,citationNumber, 
15485,,,,,,,,,,,,
15486,Great Sapphirewing,Pterophanes cyanopterus,M,3,10.2,,,,,Bolivia,963,
15487,,Pterophanes cyanopterus,F,3,8.4,,,,,,,
15488,Giant Hummingbird,Patagona gigas,U,10,20.2,1.3,,,,,136,
15489,,,,,,,,,,,,
15490,Green-backed Firecrown,Sephanoides sephaniodes,M,15,5.7,,,,,Chile,207,
15491,,Sephanoides sephaniodes,F,12,4.7,,,,,,,
15492,Juan Fernandez Firecrown,Sephanoides fernandensis,M,15,10.9,,,,,Chile,207,
15493,,Sephanoides fernandensis,F,2,7,,,,,,,
15494,Longuemare's Sunangel,Heliangelus clarisse,U,,5.3,,,,,,522,
15495,,,,,,,,,,,,
15496,Orange-throated Sunangel,Heliangelus mavors,U,,4.2,,,,,,522,
15497,,,,,,,,,,,,
15498,Amethyst-throated Sunangel,Heliangelus amethysticollis,M,15,5.3, ,,,,Bolivia,963,
15499,,Heliangelus amethysticollis,F,11,4.8,,,,,,,
15500,Gorgeted Sunangel,Heliangelus strophianus,M,4,5.5,,4.9,6,,Columbia,1037,
15501,,,,,,,,,,,,
15502,Tourmaline Sunangel,Heliangelus exortis,M,115,4.8,0.6,3.5,8.5,,Columbia,324a,
15503,,Heliangelus exortis,F,28,4.4,0.3,4,5.2,,,,
15504,Purple-throated Sunangel,Heliangelus viola,B,14,5.4,,4.4,6.6,,,"208, 633, 1042",
15505,,,,,,,,,,,,
15506,Royal Sunangel,Heliangelus regalis,B,2,3.6,,3.5,3.7,,Peru,"259, 1143",
15507,,,,,,,,,,,,
15508,Glowing Puffleg,Eriocnemis vestitus,B,22,4.4,,3.9,5,,Peru,900,
15509,,,,,,,,,,,,
15510,Glowing Puffleg,Eriocnemis vestitus,B,80,4.7,,3.3,7.2,,Columbia,324a,
15511,,,,,,,,,,,,
15512,Sapphire-vented Puffleg,Eriocnemis luciani,B,31,6,,5.4,6.4,,Ecuador,633,
15513,,,,,,,,,,,,
15514,Coppery-bellied Puffleg,Eriocnemis cupreoventris,U,13,5.3,0.3,4.7,5.8,,Columbia,324a,
15515,,,,,,,,,,,,
15516,Golden-breasted Puffleg,Eriocnemis mosquera,B,11,5.3,1.8,,6.2,,Columbia,1037,
15517,,,,,,,,,,,,
15518,Blue-capped Puffleg,Eriocnemis glaucopoides,B,13,3.7,0.5,3,4.5,,Bolivia,1143,
15519,,,,,,,,,,,,
15520,Emerald-bellied Puffleg,Eriocnemis alinae,U,,,,4,4.5,,Columbia,1069,
15521,,,,,,,,,,,,
15522,Greenish Puffleg,Haplophaedia aureliae,B,10,5.2,,4.7,6,,Columbia,1068,
15523,,,,,,,,,,,,
15524,Buff-thighed Puffleg,Haplophaedia assimilis,B,8,4.8,,4.1,5.5,,Peru,1143,
15525,,,,,,,,,,,,
15526,Hoary Puffleg,Haplophaedia lugens,U,6,6.9,,6,8.8,,Columbia,"881, 1037",
15527,,,,,,,,,,,,
15528,Purple-bellied Whitetip,Urosticte benjamini,B,9,3.9,,3.5,4.5,,Columbia,"259, 944, 1037",
15529,,,,,,,,,,,,
15530,Rufous-vented Whitetip,Urosticte ruficrissa,U,7,4.3,,,,,Columbia,1038a,
15531,,,,,,,,,,,,
15532,Booted Racket-tail,Ocreatus underwoodii,U,19,3,0.1,,,,,136,
15533,,,,,,,,,,,,
15534,Black-tailed Trainbearer,Lesbia victoriae,B,4,5,,4.5,5.3,,,"136, 208, 633",
15535,,,,,,,,,,,,
15536,Green-tailed Trainbearer,Lesbia nuna,B,12,3.7,,,,,,"136, 208, 953",
15537,,,,,,,,,,,,
15538,Red-tailed Comet,Sappho sparganura,B,10,5.3,, , ,, ,"208, 362, 1040",
15539,,,,,,,,,,,,
15540,Bronze-tailed Comet,Polyonymus caroli,B,6,4.8,,,,,,"136, 208",
15541,,,,,,,,,,,,
15542,Purple-backed Thornbill,Ramphomicron microrhynchum,B,6,3.6,, , ,, ,"208, 633",
15543,,,,,,,,,,,,
15544,Bearded Mountaineer,Oreonympha nobilis,B,3,7.7,,7,9,,,"136, 208",
15545,,,,,,,,,,,,
15546,Bearded Helmetcrest,Oxypogon guerinii,U,4,4.8,,,,,,"136, 1263",
15547,,,,,,,,,,,,
15548,Tyrian Metaltail,Metallura tyrianthina,B,93,3.8,,,,,Ecuador,632,
15549,,,,,,,,,,,,
15550,Scaled Metaltail,Metallura aeneocauda,B,25,5.2,,,,,Bolivia,963,
15551,,,,,,,,,,,,
15552,Fire-throated Metaltail,Metallura eupogon,U,10,4.6,0.3,,,,Peru,1288,
15553,,,,,,,,,,,,
15554,Coppery Metaltail,Metallura theresiae,B,5,4.9,,,,,,"136, 208",
15555,,,,,,,,,,,,
15556,Neblina Metaltail,Metallura odomae,B,9,5.1,,4.7,5.4,, ,"28, 900",
15557,,,,,,,,,,,,
15558,Violet-throated Metaltail,Metallura baroni,B,9,4.3,,,,,Ecuador,632,
15559,,,,,,,,,,,,
15560,Viridian Metaltail,Metallura williami,B,12,4.5,,,,,,"79, 319",
15561,,,,,,,,,,,,
15562,Black Metaltail,Metallura phoebe,B,5,5.4,,,,,,"136, 208, 1042",
15563,,,,,,,,,,,,
15564,Rufous-capped Thornbill,Chalcostigma ruficeps,B,5,3.4,,,,, ,"208, 963",
15565,,,,,,,,,,,,
15566,Blue-mantled Thornbill,Chalcostigma stanleyi,U,11,5.8,,,,,,136,
15567,,,,,,,,,,,,
15568,Rainbow-bearded Thornbill,Chalcostigma herrani,B,10,5.8,,5.1,7,,Peru; Columbia,"900, 1037",
15569,,,,,,,,,,,,
15570,Long-tailed Sylph,Aglaiocercus kingi,M,11,5.1,0.5,4,6,,Venezuela,1254,
15571,,Aglaiocercus kingi,F,8,4.6,,4,4.6,,,,
15572,Violet-tailed Sylph,Aglaiocercus coelestis,M,31,6.3,0.5,5,7.9,,Columbia,1037,
15573,,Aglaiocercus coelestis,F,49,5,0.4,4,6.2,,,,
15574,Venezuelan Sylph,Aglaiocercus berlepschi,M,,5.5,,,,,,522,
15575,,Aglaiocercus berlepschi,F,,4.5,,,,,,,
15576,Hyacinth Visorbearer,Augastes scutatus,U,1,3,,,,,,136,
15577,,,,,,,,,,,,
15578,Hooded Visorbearer,Augastes lumachella,U,2,4,,,,,,136,
15579,,,,,,,,,,,,
15580,Wedge-billed Hummingbird,Augastes geoffroyi,U,13,3.6,0.2,,,,,136,
15581,,,,,,,,,,,,
15582,Purple-crowned Fairy,Heliothryx barroti,B,9,5.5,0.2,,,,,136,
15583,,,,,,,,,,,,
15584,Black-eared Fairy,Heliothryx auritus,U,11,5.4,,,,,,"136, 208, 1308",
15585,,,,,,,,,,,,
15586,Horned Sungem,Heliactin bilopha,B,6,4.4,,,,,Brazil,1109,
15587,,,,,,,,,,,,
15588,Marvelous Spatuletail,Loddigesia mirabilis,U,1,3,,,,,,136,
15589,,,,,,,,,,,,
15590,Plain-capped Starthroat,Heliomaster constantii,B,9,7.3,,6.5,9,,,587,
15591,,,,,,,,,,,,
15592,Long-billed Starthroat,Heliomaster longirostris,U,10,6.6,,,,,,"136, 208",
15593,,,,,,,,,,,,
15594,Stripe-breasted Starthroat,Heliomaster squamosus,U,3,5.9,,,,,,"136, 880",
15595,,,,,,,,,,,,
15596,Blue-tufted Starthroat,Heliomaster furcifer,B,5,5.4,,4.9,6.5,,,"63, 136, 362, 657",
15597,,,,,,,,,,,,
15598,Oasis Hummingbird,Rhodopis vesper,U,6,3.8,,,,,,"136, 208",
15599,,,,,,,,,,,,
15600,Peruvian Sheartail,Thaumastura cora,U,3,1.9,,,,,,"136, 208",
15601,,,,,,,,,,,,
15602,Sparkling-tailed Hummingbird,Tilmatura dupontii,U,12,2.2,0.2,,,,,136,
15603,,,,,,,,,,,,
15604,Slender Sheartail,Doricha enicura,U,1,2.4,,,,,,136,
15605,,,,,,,,,,,,
15606,Mexican Sheartail,Doricha eliza,B,4,2.5,,2.3,2.7,,"Yucatan, Mexico",910a,
15607,,, , , ,, , ,,,,
15608,Bahama Woodstar,Calliphlox evelynae,F,2,2.4,,2.2,2.6,,Bahamas,1159,
15609,,,,,,,,,,,,
15610,Magenta-throated Woodstar,Calliphlox bryantae,U,21,3.3,,,,,,136,
15611,,,,,,,,,,,,
15612,Purple-throated Woodstar,Calliphlox mitchellii,U,3,3.1,,,,,,136,
15613,,,,,,,,,,,,
15614,Amethyst Woodstar,Calliphlox amethystina,U,28,2.8,0.3,,,,Brazil,880,
15615,,,,,,,,,,,,
15616,Slender-billed Woodstar,Microstilbon burmeisteri,F,1,2.5,,,,,Argentina,1040,
15617,,,,,,,,,,,,
15618,Lucifer Hummingbird,Calothorax lucifer,B,9,3.3,,2.9,3.5,F,"Arizona, USA",1026,
15619,,,,,,,,,,,,
15620,Beautiful Hummingbird,Calothorax pulcher,B,5,2.7,,,,,,"136, 208",
15621,,,,,,,,,,,,
15622,Vervain Hummingbird,Mellisuga minima,U,6,2.4,,,,,,136,
15623,,,,,,,,,,,,
15624,Bee Hummingbird,Mellisuga helenae,B,4,2.2,,2,2.6,,Cuba,19,
15625,,,,,,,,,,,,
15626,Ruby-throated Hummingbird,Archilochus colubris,M,121,2.9,0.2,2.4,3.7,,"Pennsylvania, USA",828,
15627,,Archilochus colubris,F,463,3.3,0.3,2.6,4.1,,,,
15628,Black-chinned Hummingbird,Archilochus alexandri,M,1207,3.2,0.4,2.3,4.8,F,"Arizona, USA",1026,
15629,,Archilochus alexandri,F,733,3.6,0.4,2.5,5.1,,,,
15630,Anna's Hummingbird,Calypte anna,M,431,4.5,0.4,3.6,6.3,F,"Arizona, USA",1028,
15631,,Calypte anna,F,541,4,0.4,3.2,5.6,,,,
15632,Costa's Hummingbird,Calypte costae,M,33,3,,2.5,5.2,,,587,
15633,,Calypte costae,F,27,3.2,,2.5,3.4,,,,
15634,Bumblebee Hummingbird,Atthis heloisa,B,15,2.2,,2,2.7,,,587,
15635,,,,,,,,,,,,
15636,Wine-throated Hummingbird,Atthis ellioti,F,6,2.9,,2,4,,Guatemala; El Salvador,"966, 1041a",
15637,,,,,,,,,,,,
15638,Calliope Hummingbird,Stellula calliope,M,46,2.5,,1.9,3.2,,,587,
15639,,Stellula calliope,F,26,2.8,,2.2,3.2,,,,
15640,Purple-collared Woodstar,Myrtis fanny,U,3,2.3,,2.3,2.3,,,"136, 208",
15641,,,,,,,,,,,,
15642,White-bellied Woodstar,Chaetocercus mulsant,U,8,3.9,,,,,,"136, 208",
15643,,,,,,,,,,,,
15644,Little Woodstar,Chaetocercus bombus,U ,1,6.5,,,,,,785a,
15645,,,,,,,,,,,,
15646,Scintillant Hummingbird,Selasphorus scintilla,U,39,2.2,0.2,,,,,136,
15647,,,,,,,,,,,,
15648,Volcano Hummingbird,Selasphorus flammula simoni,B,9,2.8,,2.4,3.2,, ,"208, 1161",
15649,,,,,,,,,,,,
15650,Volcano Hummingbird,Selasphorus flammula torridus,B,30,2.6,,2,3,,Costa Rica,1161,
15651,,,,,,,,,,,,
15652,Broad-tailed Hummingbird,Selasphorus platycercus,M,97,3.5,0.3,,,B,"Colorado, USA",162,
15653,,Selasphorus platycercus,F,109,3.6,0.4,,,,,,
15654,Rufous Hummingbird,Selasphorus rufus,B,112,3.5,,2.8,4.5,F,"Arizona, USA",1026,
15655,,,,,,,,,,,,
15656,Allen's Hummingbird,Selasphorus sasin sasin,M,38,3.1,,2.5,3.8,,,587,
15657,,Selasphorus sasin sasin,F,18,3.2,,2.8,3.5,,,,
15658,Allen's Hummingbird,Selasphorus sasin sedentarius,M,19,3.5,,,,,,587,
15659,,Selasphorus sasin sedentarius,F,26,3.7,,,,,,,
15660,,,,,,,,,,,,
15662,Speckled Mousebird,Colius striatus,U,102,51.1,,36.8,64,,Kenya,121,
15663,,,,,,,,,,,,
15664,White-headed Mousebird,Colius leucocephalus,M,8,37.8,,31,42,,,394,
15665,,Colius leucocephalus,F,4,34,,28,39,,,,
15666,Red-backed Mousebird,Colius castanotus,B,100, ,,39,82,,Angola,266,
15667,,,,,,,,,,,,
15668,White-backed Mousebird,Colius colius,U,15,41.4,,29,54,,South Africa,508,
15669,,,,,,,,,,,,
15670,Blue-naped Mousebird,Urocolius macrourus,U,7,45.5,,35,52.5,,,"120, 852",
15671,,,,,,,,,,,,
15672,Red-faced Mousebird,Urocolius indicus,U,17,52.7,,47.5,59.5,,South Africa,508,
15673,,, , , ,, , ,,,,
15674,Red-faced Mousebird,Urocolius indicus lacteifrons,B,31,,,45,65,,Angola,266,
15675,,,,,,,,,,,,
15676,,,,,,,,,,,,
15678,Narina Trogon,Apaloderma narina,M,11,65,,54,77,,South Africa,1036,
15679,,Apaloderma narina,F,7,70.5,,58,80,,,,
15680,Bar-tailed Trogon,Apaloderma vittatum,B,18,55,,49,59,, ,591a,
15681,,,,,,,,,,,,
15682,Cuban Trogon,Priotelus temnurus,U,5,53.4,,40.3,60,,Cuba,"591a, 782, 801",
15683,,,,,,,,,,,,
15684,Hispaniolan Trogon,Priotelus roseigaster,U,1,74.2,,,,,Hispaniola,591a,
15685,,,,,,,,,,,,
15686,Black-headed Trogon,Trogon melanocephalus,B,20,85.1,,60,95,,,591a,
15687,,, , , ,, , ,,,,
15688,Citreoline Trogon,Trogon citreolus,B,23,79,,66,91,, ,591a,
15689,,,,,,,,,,,,
15690,White-tailed Trogon,Trogon viridis,B,31,89.7,,77,107,,,591a,
15691,,,,,,,,,,,,
15692,Baird's Trogon,Trogon bairdii,U,2,94.4,,93.7,95,,,591a,
15693,,,,,,,,,,,,
15694,Violaceous Trogon,Trogon violaceus,B,11,51.5,,48,55,,,359,
15695,,,,,,,,,,,,
15696,Violaceous Trogon,Trogon violaceus caligatus,U,,42,,,,,,522,
15697,,,,,,,,,,,,
15698,Mountain Trogon,Trogon mexicanus,B,20,71,,61.5,85,, ,591a,
15699,,,,,,,,,,,,
15700,White-eyed Trogon,Trogon comptus,B,4,114,,100,126,, ,591a,
15701,,,,,,,,,,,,
15702,Collared Trogon,Trogon collaris,B,47,64.2, ,,,,Panama,489,
15703,,, , , , ,,,,,,
15704,Elegant Trogon,Trogon elegans,B,18,70.9,7.7,51.6,80,,El Salvador,1041a,
15705,,,,,,,,,,,,
15706,Orange-bellied Trogon,Trogon aurantiiventris,B,7,66.7,,61.5,72,, ,"489, 591a, 1180",
15707,,,,,,,,,,,,
15708,Masked Trogon,Trogon personatus,U,10,63.4,,57,75,,,"953, 963, 1037, 1288, 1308",
15709,,,,,,,,,,,,
15710,Black-throated Trogon,Trogon rufus,B,10,53.8,6.6,46,69.5,,,"79, 155, 293, 615, 874, 878",
15711,,,,,,,,,, ,"990, 1180",
15712,Surucua Trogon,Trogon surrucura,B,3,73.3,,70,78,,Brazil,63,
15713,,,,,,,,,,,,
15714,Blue-crowned Trogon,Trogon curucui,B,18,54,,38,65,, ,591a,
15715,,,,,,,,,,,,
15716,Black-tailed Trogon,Trogon melanurus,B,11,114,, ,,,Suriname,498,
15717,,,,,,,,,,,,
15718,Slaty-tailed Trogon,Trogon massena,B,26,141,,,,,Panama,489,
15719,,,,,,,,,,,,
15720,Lattice-tailed Trogon,Trogon clathratus,U,,130,,,,,Costa Rica,1170,
15721,,,,,,,,,,,,
15722,Eared Quetzal,Euptilotis neoxenus,M,5,116,,103,127,,,591a,
15723,,Euptilotis neoxenus,F,6,129,,115,148,,,,
15724,Resplendent Quetzal,Pharomachrus mocinno,M,12,206,9,193,221,,Costa Rica,76,
15725,,     costaricensisPharomachrus mocinno,F,8,199,,184,215,,,,
15726,Crested Quetzal,Pharomachrus antisianus,M,4,170,,145,226,,,591a,
15727,,Pharomachrus antisianus,F,2,136,,134,138,,,,
15728,White-tipped Quetzal,Pharomachrus fulgidus,M,1,160,,,,,Venezuela,1254,
15729,,,,,,,,,,,,
15730,Golden-headed Quetzal,Pharomachrus auriceps,B,11,180,,154,222,, ,"591a, 1037",
15731,,,,,,,,,,,,
15732,Pavonine Quetzal,Pharomachrus pavoninus,M,11,163,,152,180,,,591a ,
15733,,,,,,,,,,,,
15734,Malabar Trogon,Harpactes fasciatus,M,1,62,,,,,,7,
15735,,,,,,,,,,,,
15736,Red-naped Trogon,Harpactes kasumba,B,4,96.9,,72.1,115,,Borneo; Malaysia,"1216, 1287",
15737,,,,,,,,,,,,
15738,Diard's Trogon,Harpactes diardii,M,6, ,,90.7,111,,,1287,
15739,,Harpactes diardii,F,5,,,87.5,106,,,,
15740,Philippine Trogon,Harpactes ardens,B,11,96.3,,82.6,114,,Philippines,954,
15741,,,,,,,,,,,,
15742,Cinnamon-rumped Trogon,Harpactes orrhophaeus,M,10, ,,46.8,60.6,, ,1287,
15743,,Harpactes orrhophaeus,F,17,,,45.7,60,,,,
15744,Scarlet-rumped Trogon,Harpactes duvaucelii,M,14, ,,36.4,43,, ,1287,
15745,,Harpactes duvaucelii,F,8,,,33.8,43.1,,,,
15746,Red-headed Trogon,Harpactes erythrocephalus,U,6,80.3,,75,86.6,, ,"775, 1287",
15747,,,,,,,,,,,,
15748,Orange-breasted Trogon,Harpactes oreskios,M,1,57.3,,,,,,1287,
15749,,,,,,,,,,,,
15750,Ward's Trogon,Harpactes wardi,B,4,119,,115,120,,India,7,
15751,,,,,,,,,,,,
15752,,,,,,,,,,,,
15754,Common Kingfisher,Alcedo atthis atthis,U,15,27,2.4,23,33,PB,Iran,223,
15755,,,,,,,,,,,,
15756,Common Kingfisher,Alcedo atthis ispida,U,162,35.8,2.1,,,B,"Britain, UK",223,
15757,,,,,,,,,,,,
15758,Half-collared Kingfisher,Alcedo semitorquata,B,9, ,,40,56,,Angola,266,
15759,,,,,,,,,,,,
15760,Shining-blue Kingfisher,Alcedo quadribrachys,U,11,34.9,,28,39.5,,Ghana; Angola,"266, 457",
15761,,,,,,,,,,,,
15762,Blue-eared Kingfisher,Alcedo meninting,U,15, ,,17.9,23.3,,  ,1287,
15763,,,,,,,,,,,,
15764,Azure Kingfisher,Alcedo azurea,U,40,34.9,3.5,24,40,, ,516,
15765,,,,,,,,,,,,
15766,Bismarck Kingfisher,Alcedo websteri,M,2,55.5,,54,57,,New Britain,426,
15767,,Alcedo websteri,F,1,67,,,,,,,
15768,Blue-banded Kingfisher,Alcedo euryzona,M,5,,,40.6,45.2,,,1287,
15769,,Alcedo euryzona,F,9,,,38.7,48.5,,,,
15770,Indigo-banded Kingfisher,Alcedo cyanopectus,F,1,21.5,,,,,"Luzon, Philippines",436,
15771,,,,,,,,,,,,
15772,Silvery Kingfisher,Alcedo argentata,M,12,16.5,,13.5,18.2,,Philippines,475,
15773,,Alcedo argentata,F,14,19.3,,17.2,22.4,,,,
15774,Malachite Kingfisher,Alcedo cristata,B,10,15.7,4,11,21.1,,,"457, 508, 562",
15775,,,,,,,,,,,,
15776,Malagasy Kingfisher,Alcedo vintsioides,U,19,17.9,3.1,13.5,26,,Madagascar ,957,
15777,,, ,,,, , ,,,,
15778,White-bellied Kingfisher,Alcedo leucogaster,U,5,14.5,,13.5,14.8,,Liberia,616,
15779,,,,,,,,,,,,
15780,Little Kingfisher,Alcedo pusilla,U,14,13.3,0.9,12,14,, ,516,
15781,,,,,,,,,,,,
15782,Black-backed Kingfisher,Ceyx erithacus,U,51,18,,15.2,21.5,, ,1287,
15783,,,,,,,,,,,,
15784,Philippine Kingfisher,Ceyx melanurus,B,3,22.8,,22,23.9,,Philippines,"436, 954",
15785,,,,,,,,,,,,
15786,Sulawesi Kingfisher,Ceyx fallax,B,16,18,1.6,15.5,20.5,,"Sulawesi, Indonesia",1272,
15787,,,,,,,,,,,,
15788,Rufous-backed Kingfisher,Ceyx rufidorsa,U,9,17.6,,,,,Malaysia,"785, 1333",
15789,,,,,,,,,,,,
15790,Variable Kingfisher,Ceyx lepidus,U,10,14,,,,,New Guinea,61,
15791,,,,,,,,,,,,
15792,Variable Kingfisher,Ceyx lepidus nigromaxilla,B,5,19.4,,19,20.5,,Guadalcanal,399,
15793,,,,,,,,,,,,
15794,Variable Kingfisher,Ceyx lepidus gentianus,M,3,26.8,,24.5,28,,Solomon Islands,399,
15795,,Ceyx lepidus gentianus,F,4,28.4,,27,29.5,,,,
15796,Madagascar Pygmy-Kingfisher,Ispidina madagascariensis,B,20,17.7,2.4,13.5,23.5,,Madagascar,957,
15797,,, , , ,, , ,,,,
15798,African Pygmy-Kingfisher,Ispidina picta,U,18,11.4,,9.6,13.5,,Ghana,457,
15799,,,,,,,,,,,,
15800,African Pygmy-Kingfisher,Ispidina picta,U,26,14.2,1.6,11,18.5,,Tanzania,1014,
15801,,,,,,,,,,,,
15802,Dwarf Kingfisher,Ispidina lecontei,U,5,9.5,,8,10.5,,,"120, 616",
15803,,,,,,,,,,,,
15804,Banded Kingfisher,Lacedo pulchella,M,6, ,,40.8,48.5,, ,1287,
15805,,Lacedo pulchella,F,7,,,46.5,54.3,,,,
15806,Laughing Kookaburra,Dacelo novaeguineae,M,51,313,27.1,248,371,,"Canberra, Australia",516,
15807,,Dacelo novaeguineae,F,35,356,26.5,285,417,,,,
15808,Blue-winged Kookaburra,Dacelo leachii,M,21,284,34.4,200,330,,northern Australia,516,
15809,,Dacelo leachii,F,13,334,51.3,267,447,,,,
15810,Spangled Kookaburra,Dacelo tyro archboldi,M,,,,128,145,, ,393,
15811,,Dacelo tyro archboldi,F,,,,148,165,,,,
15812,Rufous-bellied Kookaburra,Dacelo gaudichaud,U,22,143,,,,,New Guinea,61,
15813,,, ,,,,,,,,,
15814,Shovel-billed Kookaburra,Clytoceyx rex,M,2,242,,238,245,,New Guinea,424,
15815,,,,,,,,,,,,
15816,Brown-winged Kingfisher,Pelargopsis amauroptera,M,1,162,,,,,,1287,
15817,,,,,,,,,,,,
15818,Stork-billed Kingfisher,Pelargopsis capensis gouldi,M,4,155,,143,180,,Philippines,983,
15819,,Pelargopsis capensis gouldi,F,3,206,,182,225,,,,
15820,Black-billed Kingfisher,Pelargopsis melanorhyncha,M,1,184,,,,,,393,
15821,,Pelargopsis melanorhyncha,F,1,203,,,,,,,
15822,Ruddy Kingfisher,Halcyon coromanda,U,27,77.5,,68.8,86.8,F,Malaysia,1287,
15823,,,,,,,,,,,,
15824,Chocolate-backed Kingfisher,Halcyon badia,B,13,57.9,,47,64.5,,Uganda,394,
15825,,,,,,,,,,,,
15826,White-throated Kingfisher,Halcyon smyrnensis,B,17,91.4,,80.5,108,,Philippines,954,
15827,,,,,,,,,,,,
15828,Gray-headed Kingfisher,Halcyon leucocephala,B,24,41.8,,34,52,,tropical & southern Africa,223,
15829,,,,,,,,,,,,
15830,Black-capped Kingfisher,Halcyon pileata ,U,25,84,10,,,W,Malaysia,853,
15831,,,,,,,,,,,,
15832,Javan Kingfisher,Halcyon cyanoventris,F,1,93,,,,,,393,
15833,,,,,,,,,,,,
15834,Woodland Kingfisher,Halcyon senegalensis,B,30, ,,62,87,,Angola,266,
15835,,,,,,,,,,,,
15836,Mangrove Kingfisher,Halcyon senegaloides,B,5,61.8,,57,66,,Uganda,394,
15837,,,,,,,,,,,,
15838,Blue-breasted Kingfisher,Halcyon malimbica,U,12,91.8,,79,105,,Ghana,457,
15839,,,,,,,,,,,,
15840,Brown-hooded Kingfisher,Halcyon albiventris,B,9,65.1,,59.4,69.4,,South Africa,508,
15841,,,,,,,,,,,,
15842,Striped Kingfisher,Halcyon chelicuti,B,100, ,,34,55,,Angola,266,
15843,,,,,,,,,,,,
15844,Blue-black Kingfisher,Todiramphus nigrocyaneus,M,,,,51,54,,,393,
15845,,Todiramphus nigrocyaneus,F,,,,55,57,,,,
15846,Rufous-lored Kingfisher,Todiramphus winchelli,M,2,61.8,,59.5,64.1,,Philippines,954,
15847,,Todiramphus winchelli,F,2,73.5,,67,80,,,,
15848,Blue-and-white Kingfisher,Todiramphus diops,M,,,,41,45,,,393,
15849,,Todiramphus diops,F,,,,42,65,,, ,
15850,Forest Kingfisher,Todiramphus macleayii,B,32,37.3,,29,43.1,,Australia,516,
15851,,,,,,,,,,,,
15852,New Britain Kingfisher,Todiramphus albonotatus,M,1,32,,,,, ,393,
15853,,,,,,,,,,,,
15854,Ultramarine Kingfisher,Todiramphus leucopygius,M,13,46.3,,42.5,52,,Guadalcanal; Solomon Is.,"399, 658",
15855,,Todiramphus leucopygius,F,9,49.6,,42,61,,,,
15856,Chestnut-bellied Kingfisher,Todiramphus farquhari,B,6,38.8,,37,40.5,,Vanuatu,656b,
15857,,, ,,,, , ,,,,
15858,Red-backed Kingfisher,Todiramphus pyrrhopygia,B,23,51.7,,41,70,,Australia,516,
15859,,, , , , , , ,,,,
15860,Micronesian Kingfisher,Todiramphus cinnamominus,B,17,58.4,6.2,50.7,71.5,,captive,923,
15861,,     cinnamominus,,,,,,,,,,
15862,Micronesian Kingfisher,Todiramphus cinnamominus,M,27,61.8,4.7,,,,"Pohnpei, Micronesia",630a,
15863,,     reichenbachiiTodiramphus cinnamominus,F,27,66.7,6.8,,,,,,
15864,Collared Kingfisher,Todiramphus chloris,U,66,58.9,,47.6,70.9,,central Malaysia,1287,
15865,,,,,,,,,,,,
15866,Collared Kingfisher,Todiramphus chloris sordidus,U,18,80.5,8,60,98,, ,516,
15867,,,,,,,,,,,,
15868,Collared Kingfisher,Todiramphus chloris solomonis,M,17,57.4,,47.5,61,,Solomon Islands,399,
15869,,Todiramphus chloris solomonis,F,7,65,,61,71.5,,,,
15870,Collared Kingfisher,Todiramphus chloris alberti,B,11,83.4,,67,102,,Solomon Islands,"399, 658",
15871,,,,,,,,,,,,
15872,Collared Kingfisher,Todiramphus chloris santoensis,M,1,56.5,,,,,,656b,
15873,,, , ,,, ,,,,,
15874,Beach Kingfisher,Todiramphus saurophagus,B,7,126,,104,146,,Solomon Islands,"399, 658",
15875,,, , , ,, , ,,,,
15876,Sacred Kingfisher,Todiramphus sanctus sanctus,U,130,43.7,5.1,34.5,62.5,,Australia,516,
15877,,,,,,,,,,,,
15878,Sacred Kingfisher,Todiramphus sanctus vagans,U,45,64.2,4.6,55,75,,New Zealand,516,
15879,,,,,,,,,,,,
15880,Mangaia Kingfisher,Todiramphus ruficollaris,B,4,50.3,,40.2,66.5,,Cook Islands,1153b,
15881,,,,,,,,,,,,
15882,Chattering Kingfisher,Todiramphus tutus,M,15,39.9,2.5,36.7,45.1,,Cook Islands,1153b,
15883,,Todiramphus tutus,F,7,44.9,,39.7,50.5,,,,
15884,Hook-billed Kingfisher,Melidora macrorrhina,U,7,97,,,,,New Guinea,61,
15885,,,,,,,,,,,,
15886,Moustached Kingfisher,Actenoides bougainvillei excelsus,F,2,188,,160,215,,Guadalcanal,399,
15887,,,,,,,,,,,,
15888,Rufous-collared Kingfisher,Actenoides concretus,M,16,71.5,,62.3,83.3,, ,1287,
15889,,Actenoides concretus,F,16,75.5,,59.8,88.1,,,,
15890,Spotted Kingfisher,Actenoides lindsayi,M,10,83.7,6.8,72,96,,"Luzon, Philippines",436,
15891,,Actenoides lindsayi,F,3,103,,95,117,,,,
15892,Blue-capped Kingfisher,Actenoides hombroni,B,9,117,,106,147,,Philippines,954,
15893,,,,,,,,,,,,
15894,Yellow-billed Kingfisher,Syma torotoro,B,13,37.7,,,,,New Guinea; Australia,"61, 516",
15895,,,,,,,,,,,,
15896,Mountain Kingfisher,Syma megarhyncha,M, , ,52,60,,,,393,
15897,,Syma megarhyncha,F,,,49,63,,,,,
15898,Common Paradise-Kingfisher,Tanysiptera galatea,U,71,50,,,,,New Guinea,61,
15899,,,,,,,,,,,,
15900,Red-breasted Paradise-Kingfisher,Tanysiptera nympha,M,1,57,, , ,, ,393,
15901,,Tanysiptera nympha,F, , ,,47,57,,,,
15902,Brown-headed Paradise-Kingfisher,Tanysiptera danae,M,,,,37,46,,,393,
