sortID,common,spp,sex,N,meanMass,sDev,minMass,maxMass,season,location,citationNumber, 
412,Slender-billed Xenops,Xenops tenuirostris,B,8,9.7,, , ,,Peru; Suriname,"370, 498",
413,,,,,,,,,,,,
414,Plain Xenops,Xenops minutus,U,16,10.6,,8.2,11.4,,Brazil,875,
415,,,,,,,,,,,,
416,Streaked Xenops,Xenops rutilans,B,12,12.2,,,,,Panama,489,
417,,,,,,,,,,,,
418,Streaked Xenops,Xenops rutilans,B,5,10.3,,,,,Peru,1302,
419,,,,,,,,,,,,
420,Sharp-billed Treehunter,Heliobletus contaminatus,B,10,14,,12.5,15.5,,Brazil ,"63, 878, 961, 1178", 
421,,,,,,,,,,,,
422,White-browed Foliage-gleaner,Anabacerthia amaurotis,U,29,19.2,1.2, , ,,Brazil,961,
423,,,,,,,,,,,,
424,Montane Foliage-gleaner,Anabacerthia striaticollis,U,18,24.8,1.3,,,,Peru ,1288,
425,,,,,,,,,,,,
426,Scaly-throated Foliage-gleaner,Anabacerthia variegaticeps,U,3,27.8,,25.7,30.6,,Columbia,1037,
427,,,,,,,,,,,,
428,Streaked Tuftedcheek,Pseudocolaptes boissonneautii,B,16,43.9,,39.1,51.6,,Columbia,324a,
429,,,,,,,,,,,,
430,Buffy Tuftedcheek,Pseudocolaptes lawrencii,B,7,51,,,,,Panama; Ecuador,"489, 991",
431,,,,,,,,,,,,
432,Flammulated Treehunter,Thripadectes flammulatus,B,6,55.9,,50,62,,Peru; Columbia,"900, 1037", 
433,,,,,,,,,,,,
434,Buff-throated Treehunter,Thripadectes scrutator,M,1,66.3,,,,,Peru,1288,
435,,,,,,,,,,,,
436,Striped Treehunter,Thripadectes holostictus,U,28,40.7,,32.6,45.6,,Columbia,324a, 
437,,,,,,,,,,,,
438,Black-billed Treehunter,Thripadectes melanorhynchus,U,14,44.3,,,,,Peru; Ecuador; Columbia,"953, 1038a, 1288", 
439,,,,,,,,,,,,
